session,touch,time,data,time_sec,touch_type
0,0,0,0.0,-4.833333333333333,Passing
0,0,1,0.0,-4.5,Passing
0,0,2,0.0,-4.166666666666666,Passing
0,0,3,0.0,-3.8333333333333335,Passing
0,0,4,0.0,-3.5000000000000004,Passing
0,0,5,0.0,-3.166666666666667,Passing
0,0,6,0.0,-2.8333333333333335,Passing
0,0,7,0.0,-2.5000000000000004,Passing
0,0,8,0.0,-2.166666666666667,Passing
0,0,9,0.0,-1.8333333333333333,Passing
0,0,10,0.0,-1.5000000000000002,Passing
0,0,11,0.0,-1.1666666666666667,Passing
0,0,12,0.0,-0.8333333333333334,Passing
0,0,13,0.0,-0.5000000000000003,Passing
0,0,14,0.0,-0.16666666666666727,Passing
0,0,15,0.0,0.16666666666666666,Passing
0,0,16,0.0,0.49999999999999967,Passing
0,0,17,0.0,0.8333333333333327,Passing
0,0,18,0.0,1.1666666666666667,Passing
0,0,19,0.0,1.4999999999999998,Passing
0,0,20,0.0,1.8333333333333328,Passing
0,0,21,0.0,2.1666666666666665,Passing
0,0,22,0.0,2.4999999999999996,Passing
0,0,23,0.0,2.8333333333333326,Passing
0,0,24,0.0,3.1666666666666665,Passing
0,0,25,0.0,3.4999999999999987,Passing
0,0,26,0.0,3.8333333333333326,Passing
0,0,27,0.0,4.166666666666667,Passing
0,0,28,0.0,4.499999999999999,Passing
0,0,29,0.0,4.833333333333333,Passing
0,0,30,0.0,5.166666666666667,Passing
0,0,31,0.0,5.499999999999999,Passing
0,0,32,0.0,5.833333333333333,Passing
0,0,33,0.0,6.166666666666667,Passing
0,0,34,0.0,6.499999999999999,Passing
0,0,35,0.0,6.833333333333333,Passing
0,0,36,0.0,7.166666666666667,Passing
0,0,37,0.0,7.499999999999999,Passing
0,0,38,0.0,7.833333333333333,Passing
0,0,39,0.0,8.166666666666666,Passing
0,0,40,0.0,8.499999999999998,Passing
0,0,41,0.0,8.833333333333332,Passing
0,0,42,0.0,9.166666666666666,Passing
0,0,43,0.0,9.499999999999998,Passing
0,0,44,0.0,9.833333333333332,Passing
0,1,0,0.0,-4.833333333333333,Snout-to-snout contact
0,1,1,0.0,-4.5,Snout-to-snout contact
0,1,2,0.0,-4.166666666666666,Snout-to-snout contact
0,1,3,0.0,-3.8333333333333335,Snout-to-snout contact
0,1,4,0.0,-3.5000000000000004,Snout-to-snout contact
0,1,5,0.0,-3.166666666666667,Snout-to-snout contact
0,1,6,0.0,-2.8333333333333335,Snout-to-snout contact
0,1,7,0.0,-2.5000000000000004,Snout-to-snout contact
0,1,8,0.0,-2.166666666666667,Snout-to-snout contact
0,1,9,0.0,-1.8333333333333333,Snout-to-snout contact
0,1,10,0.0,-1.5000000000000002,Snout-to-snout contact
0,1,11,0.0,-1.1666666666666667,Snout-to-snout contact
0,1,12,0.0,-0.8333333333333334,Snout-to-snout contact
0,1,13,0.0,-0.5000000000000003,Snout-to-snout contact
0,1,14,0.0,-0.16666666666666727,Snout-to-snout contact
