dataset,noise,max_idx,exc,data_sec
labels_ap_0024,300,6,False,0.32500000000000007
labels_ap_0024,600,14,False,0.7250000000000001
labels_ap_0024,900,6,False,0.32500000000000007
labels_ap_1041,300,5,False,0.275
labels_ap_1041,600,6,False,0.32500000000000007
labels_ap_1041,900,5,False,0.275
labels_ap_1508,300,0,False,0.025
labels_ap_1508,600,0,False,0.025
labels_ap_1508,900,5,False,0.275
labels_ap_1530,300,5,False,0.275
labels_ap_1530,600,15,False,0.775
labels_ap_1530,900,17,False,0.8750000000000001
labels_ap_2255,300,5,False,0.275
labels_ap_2255,600,4,False,0.225
labels_ap_2255,900,7,False,0.37500000000000006
labels_ap_2800,300,7,False,0.37500000000000006
labels_ap_2800,600,18,False,0.925
labels_ap_2800,900,23,False,1.175
labels_ap_2805,900,9,False,0.47500000000000003
labels_ap_3342,300,5,False,0.275
labels_ap_3342,600,8,False,0.42500000000000004
labels_ap_3342,900,20,False,1.025
labels_ap_4573,300,7,False,0.37500000000000006
labels_ap_4573,600,7,False,0.37500000000000006
labels_ap_4573,900,8,False,0.42500000000000004
labels_ap_5867,300,8,False,0.42500000000000004
labels_ap_5867,600,10,False,0.525
labels_ap_5867,900,13,False,0.675
labels_ap_7562,600,5,False,0.275
labels_ap_7562,900,9,False,0.47500000000000003
labels_ap_8776,600,10,False,0.525
labels_ap_8776,900,0,False,0.025
labels_ap_8820,300,7,False,0.37500000000000006
labels_ap_8820,600,6,False,0.32500000000000007
labels_ap_8820,900,9,False,0.47500000000000003
labels_ap_8822,300,6,False,0.32500000000000007
labels_ap_8822,600,11,False,0.5750000000000001
labels_ap_8822,900,8,False,0.42500000000000004
labels_ap_8823,300,6,False,0.32500000000000007
labels_ap_8823,600,9,False,0.47500000000000003
labels_ap_8823,900,4,False,0.225
labels_ap_8824,300,8,False,0.42500000000000004
labels_ap_8824,600,10,False,0.525
labels_ap_8824,900,6,False,0.32500000000000007
labels_ap_8826,300,4,False,0.225
labels_ap_8826,600,4,False,0.225
labels_ap_8826,900,6,False,0.32500000000000007
labels_ap_9140,300,5,False,0.275
labels_ap_9140,600,4,False,0.225
labels_ap_9140,900,15,False,0.775
labels_ap_9141,300,3,False,0.17500000000000002
labels_ap_9141,600,5,False,0.275
labels_ap_9141,900,5,False,0.275
labels_ap_9240,300,8,False,0.42500000000000004
labels_ap_9240,600,10,False,0.525
labels_ap_9240,900,18,False,0.925
