dataset,noise,max_idx,exc,data_sec
labels_aup_0024,300,6,False,0.32500000000000007
labels_aup_0024,600,5,False,0.275
labels_aup_0024,900,6,False,0.32500000000000007
labels_aup_1041,300,7,False,0.37500000000000006
labels_aup_1041,600,7,False,0.37500000000000006
labels_aup_1041,900,4,False,0.225
labels_aup_1508,300,6,False,0.32500000000000007
labels_aup_1508,900,12,False,0.6250000000000001
labels_aup_1530,300,10,False,0.525
labels_aup_1530,600,9,False,0.47500000000000003
labels_aup_1530,900,6,False,0.32500000000000007
labels_aup_2255,300,6,False,0.32500000000000007
labels_aup_2255,600,8,False,0.42500000000000004
labels_aup_2255,900,4,False,0.225
labels_aup_2800,600,13,False,0.675
labels_aup_2800,900,21,False,1.075
labels_aup_2805,600,5,False,0.275
labels_aup_2805,900,11,False,0.5750000000000001
labels_aup_3342,300,6,False,0.32500000000000007
labels_aup_3342,600,14,False,0.7250000000000001
labels_aup_3342,900,5,False,0.275
labels_aup_4573,300,8,False,0.42500000000000004
labels_aup_4573,600,7,False,0.37500000000000006
labels_aup_4573,900,10,False,0.525
labels_aup_5867,300,10,False,0.525
labels_aup_5867,600,7,False,0.37500000000000006
labels_aup_5867,900,12,False,0.6250000000000001
labels_aup_7562,300,7,False,0.37500000000000006
labels_aup_7562,600,7,False,0.37500000000000006
labels_aup_7562,900,15,False,0.775
labels_aup_8776,300,7,False,0.37500000000000006
labels_aup_8776,600,5,False,0.275
labels_aup_8776,900,9,False,0.47500000000000003
labels_aup_8820,300,6,False,0.32500000000000007
labels_aup_8820,600,11,False,0.5750000000000001
labels_aup_8820,900,6,False,0.32500000000000007
labels_aup_8822,300,8,False,0.42500000000000004
labels_aup_8822,600,4,False,0.225
labels_aup_8822,900,10,False,0.525
labels_aup_8823,300,6,False,0.32500000000000007
labels_aup_8823,600,8,False,0.42500000000000004
labels_aup_8823,900,9,False,0.47500000000000003
labels_aup_8824,300,8,False,0.42500000000000004
labels_aup_8824,600,8,False,0.42500000000000004
labels_aup_8824,900,9,False,0.47500000000000003
labels_aup_8826,300,6,False,0.32500000000000007
labels_aup_8826,600,3,False,0.17500000000000002
labels_aup_8826,900,4,False,0.225
labels_aup_9140,300,6,False,0.32500000000000007
labels_aup_9140,600,3,False,0.17500000000000002
labels_aup_9140,900,6,False,0.32500000000000007
labels_aup_9141,300,8,False,0.42500000000000004
labels_aup_9141,600,12,False,0.6250000000000001
labels_aup_9141,900,6,False,0.32500000000000007
labels_aup_9240,300,10,False,0.525
labels_aup_9240,600,10,False,0.525
labels_aup_9240,900,18,False,0.925
