data,condition,animal
159,300sc,ABN22.txt
160,600sc,ABN22.txt
139,900sc,ABN22.txt
17,300sc,ABN253.txt
3,600sc,ABN253.txt
3,900sc,ABN253.txt
112,300sc,ABN26.txt
92,600sc,ABN26.txt
111,900sc,ABN26.txt
83,300sc,ABN29.txt
8,600sc,ABN29.txt
40,900sc,ABN29.txt
0,300sc,ABN30.txt
0,600sc,ABN30.txt
0,900sc,ABN30.txt
77,300sc,ABN32.txt
3,600sc,ABN32.txt
15,900sc,ABN32.txt
22,300sc,ABN33.txt
0,600sc,ABN33.txt
0,900sc,ABN33.txt
116,300sc,ABN113.txt
131,600sc,ABN113.txt
122,900sc,ABN113.txt
49,300sc,ABN114.txt
109,600sc,ABN114.txt
76,900sc,ABN114.txt
160,300sc,ABN118.txt
88,600sc,ABN118.txt
117,900sc,ABN118.txt
17,300sc,ABN123.txt
20,600sc,ABN123.txt
22,900sc,ABN123.txt
92,300sc,ABN129.txt
103,600sc,ABN129.txt
55,900sc,ABN129.txt
5,300sc,ABN133.txt
39,600sc,ABN133.txt
19,900sc,ABN133.txt
8,300sc,ABN173.txt
3,600sc,ABN173.txt
5,900sc,ABN173.txt
1,300sc,ABN202.txt
0,600sc,ABN202.txt
1,900sc,ABN202.txt
0,300sc,ABN227.txt
0,600sc,ABN227.txt
1,900sc,ABN227.txt
78,300sc,ABN1.txt
111,600sc,ABN1.txt
107,900sc,ABN1.txt
169,300sc,ABN11.txt
126,600sc,ABN11.txt
146,900sc,ABN11.txt
0,300sc,ABN16.txt
0,600sc,ABN16.txt
0,900sc,ABN16.txt
129,300sc,ABN18.txt
55,600sc,ABN18.txt
9,900sc,ABN18.txt
49,300sc,ABN2.txt
131,600sc,ABN2.txt
106,900sc,ABN2.txt
124,300sc,ABN7.txt
105,600sc,ABN7.txt
100,900sc,ABN7.txt
28,300sc,ABN9.txt
70,600sc,ABN9.txt
65,900sc,ABN9.txt
