data,condition,animal
0.14545454545454545,600_600,labels_ap_0024
0.20408163265306123,300_300,labels_ap_0024
0.1702127659574468,900_900,labels_ap_0024
0.6545454545454545,600_600,labels_ap_1041
0.6122448979591837,300_300,labels_ap_1041
0.7872340425531915,900_900,labels_ap_1041
0.10909090909090909,600_600,labels_ap_1508
0.02040816326530612,300_300,labels_ap_1508
0.0851063829787234,900_900,labels_ap_1508
0.14545454545454545,600_600,labels_ap_1530
0.1836734693877551,300_300,labels_ap_1530
0.19148936170212766,900_900,labels_ap_1530
0.16363636363636364,600_600,labels_ap_2255
0.14285714285714285,300_300,labels_ap_2255
0.2127659574468085,900_900,labels_ap_2255
0.01818181818181818,600_600,labels_ap_2800
0.061224489795918366,300_300,labels_ap_2800
0.06382978723404255,900_900,labels_ap_2800
0.0,600_600,labels_ap_2805
0.0,300_300,labels_ap_2805
0.10638297872340426,900_900,labels_ap_2805
0.09090909090909091,600_600,labels_ap_3342
0.12244897959183673,300_300,labels_ap_3342
0.14893617021276595,900_900,labels_ap_3342
0.43636363636363634,600_600,labels_ap_4573
0.16326530612244897,300_300,labels_ap_4573
0.425531914893617,900_900,labels_ap_4573
0.32727272727272727,600_600,labels_ap_5867
0.22448979591836735,300_300,labels_ap_5867
0.44680851063829785,900_900,labels_ap_5867
0.09090909090909091,600_600,labels_ap_7562
0.0,300_300,labels_ap_7562
0.0425531914893617,900_900,labels_ap_7562
0.03636363636363636,600_600,labels_ap_8776
0.0,300_300,labels_ap_8776
0.0425531914893617,900_900,labels_ap_8776
0.43636363636363634,600_600,labels_ap_8820
0.20408163265306123,300_300,labels_ap_8820
0.6382978723404256,900_900,labels_ap_8820
0.32727272727272727,600_600,labels_ap_8822
0.16326530612244897,300_300,labels_ap_8822
0.6170212765957447,900_900,labels_ap_8822
0.41818181818181815,600_600,labels_ap_8823
0.1836734693877551,300_300,labels_ap_8823
0.5957446808510638,900_900,labels_ap_8823
0.18181818181818182,600_600,labels_ap_8824
0.061224489795918366,300_300,labels_ap_8824
0.14893617021276595,900_900,labels_ap_8824
0.34545454545454546,600_600,labels_ap_8826
0.2857142857142857,300_300,labels_ap_8826
0.2553191489361702,900_900,labels_ap_8826
0.36363636363636365,600_600,labels_ap_9140
0.10204081632653061,300_300,labels_ap_9140
0.3829787234042553,900_900,labels_ap_9140
0.10909090909090909,600_600,labels_ap_9141
0.02040816326530612,300_300,labels_ap_9141
0.1276595744680851,900_900,labels_ap_9141
0.21818181818181817,600_600,labels_ap_9240
0.08163265306122448,300_300,labels_ap_9240
0.14893617021276595,900_900,labels_ap_9240
