data,condition,noise,silence,animal
0.25,300_900,300,900,labels_aup_0024
0.46153846153846156,900_600,900,600,labels_aup_0024
0.3333333333333333,600_300,600,300,labels_aup_0024
0.35,300_600,300,600,labels_aup_0024
0.24,600_900,600,900,labels_aup_0024
0.17391304347826086,900_300,900,300,labels_aup_0024
0.5357142857142857,300_900,300,900,labels_aup_1041
0.5769230769230769,900_600,900,600,labels_aup_1041
0.5925925925925926,600_300,600,300,labels_aup_1041
0.4,300_600,300,600,labels_aup_1041
0.52,600_900,600,900,labels_aup_1041
0.6086956521739131,900_300,900,300,labels_aup_1041
0.0,300_900,300,900,labels_aup_1508
0.038461538461538464,900_600,900,600,labels_aup_1508
0.0,600_300,600,300,labels_aup_1508
0.05,300_600,300,600,labels_aup_1508
0.0,600_900,600,900,labels_aup_1508
0.0,900_300,900,300,labels_aup_1508
0.21428571428571427,300_900,300,900,labels_aup_1530
0.4230769230769231,900_600,900,600,labels_aup_1530
0.14814814814814814,600_300,600,300,labels_aup_1530
0.1,300_600,300,600,labels_aup_1530
0.4,600_900,600,900,labels_aup_1530
0.17391304347826086,900_300,900,300,labels_aup_1530
0.2857142857142857,300_900,300,900,labels_aup_2255
0.34615384615384615,900_600,900,600,labels_aup_2255
0.2962962962962963,600_300,600,300,labels_aup_2255
0.45,300_600,300,600,labels_aup_2255
0.28,600_900,600,900,labels_aup_2255
0.08695652173913043,900_300,900,300,labels_aup_2255
0.0,300_900,300,900,labels_aup_2800
0.07692307692307693,900_600,900,600,labels_aup_2800
0.07407407407407407,600_300,600,300,labels_aup_2800
0.0,300_600,300,600,labels_aup_2800
0.0,600_900,600,900,labels_aup_2800
0.08695652173913043,900_300,900,300,labels_aup_2800
0.0,300_900,300,900,labels_aup_2805
0.0,900_600,900,600,labels_aup_2805
0.0,600_300,600,300,labels_aup_2805
0.0,300_600,300,600,labels_aup_2805
0.08,600_900,600,900,labels_aup_2805
0.08695652173913043,900_300,900,300,labels_aup_2805
0.2857142857142857,300_900,300,900,labels_aup_3342
0.11538461538461539,900_600,900,600,labels_aup_3342
0.1111111111111111,600_300,600,300,labels_aup_3342
0.35,300_600,300,600,labels_aup_3342
0.12,600_900,600,900,labels_aup_3342
0.08695652173913043,900_300,900,300,labels_aup_3342
0.6071428571428571,300_900,300,900,labels_aup_4573
0.9230769230769231,900_600,900,600,labels_aup_4573
0.5555555555555556,600_300,600,300,labels_aup_4573
0.7,300_600,300,600,labels_aup_4573
0.72,600_900,600,900,labels_aup_4573
0.8260869565217391,900_300,900,300,labels_aup_4573
0.17857142857142858,300_900,300,900,labels_aup_5867
0.3076923076923077,900_600,900,600,labels_aup_5867
0.18518518518518517,600_300,600,300,labels_aup_5867
0.3,300_600,300,600,labels_aup_5867
0.32,600_900,600,900,labels_aup_5867
0.43478260869565216,900_300,900,300,labels_aup_5867
0.10714285714285714,300_900,300,900,labels_aup_7562
0.038461538461538464,900_600,900,600,labels_aup_7562
0.037037037037037035,600_300,600,300,labels_aup_7562
0.1,300_600,300,600,labels_aup_7562
0.12,600_900,600,900,labels_aup_7562
0.0,900_300,900,300,labels_aup_7562
0.10714285714285714,300_900,300,900,labels_aup_8776
0.038461538461538464,900_600,900,600,labels_aup_8776
0.1111111111111111,600_300,600,300,labels_aup_8776
0.1,300_600,300,600,labels_aup_8776
0.08,600_900,600,900,labels_aup_8776
0.17391304347826086,900_300,900,300,labels_aup_8776
0.35714285714285715,300_900,300,900,labels_aup_8820
0.8461538461538461,900_600,900,600,labels_aup_8820
0.5555555555555556,600_300,600,300,labels_aup_8820
0.6,300_600,300,600,labels_aup_8820
0.48,600_900,600,900,labels_aup_8820
0.7391304347826086,900_300,900,300,labels_aup_8820
0.10714285714285714,300_900,300,900,labels_aup_8822
0.15384615384615385,900_600,900,600,labels_aup_8822
0.037037037037037035,600_300,600,300,labels_aup_8822
0.1,300_600,300,600,labels_aup_8822
0.24,600_900,600,900,labels_aup_8822
0.08695652173913043,900_300,900,300,labels_aup_8822
0.5357142857142857,300_900,300,900,labels_aup_8823
0.46153846153846156,900_600,900,600,labels_aup_8823
0.4074074074074074,600_300,600,300,labels_aup_8823
0.25,300_600,300,600,labels_aup_8823
0.44,600_900,600,900,labels_aup_8823
0.43478260869565216,900_300,900,300,labels_aup_8823
0.21428571428571427,300_900,300,900,labels_aup_8824
0.19230769230769232,900_600,900,600,labels_aup_8824
0.4074074074074074,600_300,600,300,labels_aup_8824
0.3,300_600,300,600,labels_aup_8824
0.32,600_900,600,900,labels_aup_8824
0.30434782608695654,900_300,900,300,labels_aup_8824
0.25,300_900,300,900,labels_aup_8826
0.3076923076923077,900_600,900,600,labels_aup_8826
0.1111111111111111,600_300,600,300,labels_aup_8826
0.35,300_600,300,600,labels_aup_8826
0.16,600_900,600,900,labels_aup_8826
0.0,900_300,900,300,labels_aup_8826
0.25,300_900,300,900,labels_aup_9140
0.5,900_600,900,600,labels_aup_9140
0.4444444444444444,600_300,600,300,labels_aup_9140
0.35,300_600,300,600,labels_aup_9140
0.28,600_900,600,900,labels_aup_9140
0.4782608695652174,900_300,900,300,labels_aup_9140
0.17857142857142858,300_900,300,900,labels_aup_9141
0.15384615384615385,900_600,900,600,labels_aup_9141
0.18518518518518517,600_300,600,300,labels_aup_9141
0.15,300_600,300,600,labels_aup_9141
0.12,600_900,600,900,labels_aup_9141
0.08695652173913043,900_300,900,300,labels_aup_9141
0.25,300_900,300,900,labels_aup_9240
0.2692307692307692,900_600,900,600,labels_aup_9240
0.14814814814814814,600_300,600,300,labels_aup_9240
0.25,300_600,300,600,labels_aup_9240
0.12,600_900,600,900,labels_aup_9240
0.21739130434782608,900_300,900,300,labels_aup_9240
