data,condition,animal
0.08,300sc,ABN22.txt
0.08,600sc,ABN22.txt
0.08,900sc,ABN22.txt
0.08,300sc,ABN253.txt
0.08,600sc,ABN253.txt
0.08,900sc,ABN253.txt
0.08,300sc,ABN26.txt
0.08,600sc,ABN26.txt
0.08,900sc,ABN26.txt
0.08,300sc,ABN29.txt
0.08,600sc,ABN29.txt
0.08,900sc,ABN29.txt
0.0,300sc,ABN30.txt
0.0,600sc,ABN30.txt
0.0,900sc,ABN30.txt
0.08,300sc,ABN32.txt
0.08,600sc,ABN32.txt
0.08,900sc,ABN32.txt
0.08,300sc,ABN33.txt
0.0,600sc,ABN33.txt
0.0,900sc,ABN33.txt
0.08,300sc,ABN113.txt
0.08,600sc,ABN113.txt
0.08,900sc,ABN113.txt
0.08,300sc,ABN114.txt
0.08,600sc,ABN114.txt
0.08,900sc,ABN114.txt
0.08,300sc,ABN118.txt
0.08,600sc,ABN118.txt
0.08,900sc,ABN118.txt
0.08,300sc,ABN123.txt
0.08,600sc,ABN123.txt
0.08,900sc,ABN123.txt
0.08,300sc,ABN129.txt
0.08,600sc,ABN129.txt
0.08,900sc,ABN129.txt
0.08,300sc,ABN133.txt
0.08,600sc,ABN133.txt
0.08,900sc,ABN133.txt
0.08,300sc,ABN173.txt
0.08,600sc,ABN173.txt
0.08,900sc,ABN173.txt
0.08,300sc,ABN202.txt
0.0,600sc,ABN202.txt
0.08,900sc,ABN202.txt
0.0,300sc,ABN227.txt
0.0,600sc,ABN227.txt
0.08,900sc,ABN227.txt
0.08,300sc,ABN1.txt
0.08,600sc,ABN1.txt
0.08,900sc,ABN1.txt
0.08,300sc,ABN11.txt
0.08,600sc,ABN11.txt
0.08,900sc,ABN11.txt
0.0,300sc,ABN16.txt
0.0,600sc,ABN16.txt
0.0,900sc,ABN16.txt
0.08,300sc,ABN18.txt
0.08,600sc,ABN18.txt
0.08,900sc,ABN18.txt
0.08,300sc,ABN2.txt
0.08,600sc,ABN2.txt
0.08,900sc,ABN2.txt
0.08,300sc,ABN7.txt
0.08,600sc,ABN7.txt
0.08,900sc,ABN7.txt
0.08,300sc,ABN9.txt
0.08,600sc,ABN9.txt
0.08,900sc,ABN9.txt
