data,condition,animal
0.056856187290969896,300ms,0024
0.26666666666666666,600ms,0024
0.11,900ms,0024
0.23255813953488372,300ms,1041
0.58,600ms,1041
0.73,900ms,1041
0.11371237458193979,300ms,1508
0.39072847682119205,600ms,1508
0.0297029702970297,900ms,1508
0.30564784053156147,300ms,1530
0.33557046979865773,600ms,1530
0.12,900ms,1530
0.12956810631229235,300ms,2255
0.32666666666666666,600ms,2255
0.25,900ms,2255
0.09666666666666666,300ms,2800
0.08666666666666667,600ms,2800
0.0,900ms,2800
0.016722408026755852,300ms,2805
0.25333333333333335,600ms,2805
0.26,900ms,2805
0.25418060200668896,300ms,3342
0.24503311258278146,600ms,3342
0.12,900ms,3342
0.1705685618729097,300ms,4573
0.5912408759124088,600ms,4573
0.6435643564356436,900ms,4573
0.056856187290969896,300ms,5867
0.4503311258278146,600ms,5867
0.48,900ms,5867
0.06020066889632107,300ms,7562
0.15333333333333332,600ms,7562
0.02,900ms,7562
0.016722408026755852,300ms,8776
0.10596026490066225,600ms,8776
0.0,900ms,8776
0.06837606837606838,300ms,8820
0.10526315789473684,600ms,8820
0.21904761904761905,900ms,8820
0.25,300ms,8822
0.31333333333333335,600ms,8822
0.1414141414141414,900ms,8822
0.0033444816053511705,300ms,8823
0.2052980132450331,600ms,8823
0.07,900ms,8823
0.3048780487804878,300ms,8824
0.9266666666666666,600ms,8824
0.8556701030927835,900ms,8824
0.39867109634551495,300ms,8826
0.54,600ms,8826
0.25742574257425743,900ms,8826
0.22742474916387959,300ms,9140
0.18666666666666668,600ms,9140
0.29,900ms,9140
0.13804713804713806,300ms,9141
0.24666666666666667,600ms,9141
0.17,900ms,9141
0.11705685618729098,300ms,9240
0.05333333333333334,600ms,9240
0.08,900ms,9240
