data,condition,animal
20,300ms,0024
41,600ms,0024
10,900ms,0024
79,300ms,1041
91,600ms,1041
92,900ms,1041
40,300ms,1508
60,600ms,1508
3,900ms,1508
112,300ms,1530
50,600ms,1530
12,900ms,1530
38,300ms,2255
49,600ms,2255
26,900ms,2255
32,300ms,2800
12,600ms,2800
0,900ms,2800
6,300ms,2805
37,600ms,2805
27,900ms,2805
84,300ms,3342
36,600ms,3342
14,900ms,3342
80,300ms,4573
81,600ms,4573
80,900ms,4573
16,300ms,5867
70,600ms,5867
48,900ms,5867
37,300ms,7562
24,600ms,7562
1,900ms,7562
7,300ms,8776
15,600ms,8776
0,900ms,8776
29,300ms,8820
15,600ms,8820
22,900ms,8820
83,300ms,8822
49,600ms,8822
14,900ms,8822
1,300ms,8823
35,600ms,8823
7,900ms,8823
139,300ms,8824
151,600ms,8824
110,900ms,8824
121,300ms,8826
88,600ms,8826
28,900ms,8826
82,300ms,9140
27,600ms,9140
30,900ms,9140
56,300ms,9141
37,600ms,9141
21,900ms,9141
42,300ms,9240
9,600ms,9240
8,900ms,9240
