session,condition,time,data,time_sec
0,300sc,0,5.0,0.025
0,300sc,1,4.0,0.07500000000000001
0,300sc,2,11.0,0.125
0,300sc,3,16.0,0.17500000000000002
0,300sc,4,12.0,0.225
0,300sc,5,19.0,0.275
0,300sc,6,13.0,0.32500000000000007
0,300sc,7,14.0,0.37500000000000006
0,300sc,8,4.0,0.42500000000000004
0,300sc,9,1.0,0.47500000000000003
0,300sc,10,0.0,0.525
0,300sc,11,0.0,0.5750000000000001
0,300sc,12,0.0,0.6250000000000001
0,300sc,13,0.0,0.675
0,300sc,14,0.0,0.7250000000000001
0,300sc,15,0.0,0.775
0,300sc,16,0.0,0.8250000000000001
0,300sc,17,0.0,0.8750000000000001
0,300sc,18,0.0,0.925
0,300sc,19,0.0,0.9750000000000001
0,300sc,20,0.0,1.025
0,300sc,21,0.0,1.075
0,300sc,22,0.0,1.125
0,300sc,23,0.0,1.175
0,300sc,24,0.0,1.225
0,300sc,25,0.0,1.275
0,300sc,26,0.0,1.325
0,300sc,27,0.0,1.375
0,300sc,28,0.0,1.425
0,300sc,29,0.0,1.475
0,300sc,30,0.0,1.525
0,300sc,31,0.0,1.575
0,300sc,32,0.0,1.625
0,300sc,33,0.0,1.675
0,300sc,34,0.0,1.725
0,300sc,35,0.0,1.775
0,600sc,0,5.0,0.025
0,600sc,1,6.0,0.07500000000000001
0,600sc,2,12.0,0.125
0,600sc,3,12.0,0.17500000000000002
0,600sc,4,4.0,0.225
0,600sc,5,10.0,0.275
0,600sc,6,13.0,0.32500000000000007
0,600sc,7,5.0,0.37500000000000006
0,600sc,8,6.0,0.42500000000000004
0,600sc,9,8.0,0.47500000000000003
0,600sc,10,4.0,0.525
0,600sc,11,9.0,0.5750000000000001
0,600sc,12,4.0,0.6250000000000001
0,600sc,13,10.0,0.675
0,600sc,14,5.0,0.7250000000000001
0,600sc,15,4.0,0.775
0,600sc,16,3.0,0.8250000000000001
0,600sc,17,4.0,0.8750000000000001
0,600sc,18,6.0,0.925
0,600sc,19,5.0,0.9750000000000001
0,600sc,20,2.0,1.025
0,600sc,21,1.0,1.075
0,600sc,22,0.0,1.125
0,600sc,23,0.0,1.175
0,600sc,24,0.0,1.225
0,600sc,25,0.0,1.275
0,600sc,26,0.0,1.325
0,600sc,27,0.0,1.375
0,600sc,28,0.0,1.425
0,600sc,29,0.0,1.475
0,600sc,30,0.0,1.525
0,600sc,31,0.0,1.575
0,600sc,32,0.0,1.625
0,600sc,33,0.0,1.675
0,600sc,34,0.0,1.725
0,600sc,35,0.0,1.775
0,900sc,0,3.0,0.025
0,900sc,1,3.0,0.07500000000000001
0,900sc,2,5.0,0.125
0,900sc,3,2.0,0.17500000000000002
0,900sc,4,6.0,0.225
0,900sc,5,8.0,0.275
0,900sc,6,5.0,0.32500000000000007
0,900sc,7,3.0,0.37500000000000006
0,900sc,8,4.0,0.42500000000000004
0,900sc,9,2.0,0.47500000000000003
0,900sc,10,5.0,0.525
0,900sc,11,2.0,0.5750000000000001
0,900sc,12,7.0,0.6250000000000001
0,900sc,13,3.0,0.675
0,900sc,14,3.0,0.7250000000000001
0,900sc,15,3.0,0.775
0,900sc,16,4.0,0.8250000000000001
