session,condition,time,data,time_sec
0,300ms,0,0.0,0.025
0,300ms,1,0.0,0.07500000000000001
0,300ms,2,0.0,0.125
0,300ms,3,0.17647058823529413,0.17500000000000002
0,300ms,4,0.0,0.225
0,300ms,5,0.11764705882352941,0.275
0,300ms,6,0.058823529411764705,0.32500000000000007
0,300ms,7,0.11764705882352941,0.37500000000000006
0,300ms,8,0.23529411764705882,0.42500000000000004
0,300ms,9,0.17647058823529413,0.47500000000000003
0,300ms,10,0.058823529411764705,0.525
0,300ms,11,0.058823529411764705,0.5750000000000001
0,300ms,12,0.0,0.6250000000000001
0,300ms,13,0.0,0.675
0,300ms,14,0.0,0.7250000000000001
0,300ms,15,0.0,0.775
0,300ms,16,0.0,0.8250000000000001
0,300ms,17,0.0,0.8750000000000001
0,300ms,18,0.0,0.925
0,300ms,19,0.0,0.9750000000000001
0,300ms,20,0.0,1.025
0,300ms,21,0.0,1.075
0,300ms,22,0.0,1.125
0,300ms,23,0.0,1.175
0,300ms,24,0.0,1.225
0,300ms,25,0.0,1.275
0,300ms,26,0.0,1.325
0,300ms,27,0.0,1.375
0,300ms,28,0.0,1.425
0,300ms,29,0.0,1.475
0,300ms,30,0.0,1.525
0,300ms,31,0.0,1.575
0,300ms,32,0.0,1.625
0,300ms,33,0.0,1.675
0,300ms,34,0.0,1.725
0,300ms,35,0.0,1.775
0,600ms,0,0.0,0.025
0,600ms,1,0.0,0.07500000000000001
0,600ms,2,0.0,0.125
0,600ms,3,0.04878048780487805,0.17500000000000002
0,600ms,4,0.024390243902439025,0.225
0,600ms,5,0.14634146341463414,0.275
0,600ms,6,0.07317073170731707,0.32500000000000007
0,600ms,7,0.07317073170731707,0.37500000000000006
0,600ms,8,0.04878048780487805,0.42500000000000004
0,600ms,9,0.0,0.47500000000000003
0,600ms,10,0.0975609756097561,0.525
0,600ms,11,0.07317073170731707,0.5750000000000001
0,600ms,12,0.0975609756097561,0.6250000000000001
0,600ms,13,0.14634146341463414,0.675
0,600ms,14,0.04878048780487805,0.7250000000000001
0,600ms,15,0.024390243902439025,0.775
0,600ms,16,0.024390243902439025,0.8250000000000001
0,600ms,17,0.024390243902439025,0.8750000000000001
0,600ms,18,0.0,0.925
0,600ms,19,0.0,0.9750000000000001
0,600ms,20,0.0,1.025
0,600ms,21,0.024390243902439025,1.075
0,600ms,22,0.0,1.125
0,600ms,23,0.024390243902439025,1.175
0,600ms,24,0.0,1.225
0,600ms,25,0.0,1.275
0,600ms,26,0.0,1.325
0,600ms,27,0.0,1.375
0,600ms,28,0.0,1.425
0,600ms,29,0.0,1.475
0,600ms,30,0.0,1.525
0,600ms,31,0.0,1.575
0,600ms,32,0.0,1.625
0,600ms,33,0.0,1.675
0,600ms,34,0.0,1.725
0,600ms,35,0.0,1.775
0,900ms,0,0.0,0.025
0,900ms,1,0.0,0.07500000000000001
0,900ms,2,0.0,0.125
0,900ms,3,0.0,0.17500000000000002
0,900ms,4,0.0,0.225
0,900ms,5,0.09090909090909091,0.275
0,900ms,6,0.18181818181818182,0.32500000000000007
0,900ms,7,0.18181818181818182,0.37500000000000006
0,900ms,8,0.09090909090909091,0.42500000000000004
0,900ms,9,0.0,0.47500000000000003
0,900ms,10,0.09090909090909091,0.525
0,900ms,11,0.0,0.5750000000000001
0,900ms,12,0.0,0.6250000000000001
0,900ms,13,0.0,0.675
0,900ms,14,0.0,0.7250000000000001
0,900ms,15,0.0,0.775
0,900ms,16,0.0,0.8250000000000001
0,900ms,17,0.0,0.8750000000000001
0,900ms,18,0.09090909090909091,0.925
0,900ms,19,0.0,0.9750000000000001
0,900ms,20,0.0,1.025
0,900ms,21,0.0,1.075
0,900ms,22,0.0,1.125
0,900ms,23,0.0,1.175
0,900ms,24,0.09090909090909091,1.225
0,900ms,25,0.0,1.275
0,900ms,26,0.0,1.325
0,900ms,27,0.0,1.375
0,900ms,28,0.0,1.425
0,900ms,29,0.0,1.475
0,900ms,30,0.09090909090909091,1.525
0,900ms,31,0.0,1.575
0,900ms,32,0.0,1.625
0,900ms,33,0.0,1.675
0,900ms,34,0.0,1.725
0,900ms,35,0.09090909090909091,1.775
1,300ms,0,0.014084507042253521,0.025
1,300ms,1,0.028169014084507043,0.07500000000000001
1,300ms,2,0.14084507042253522,0.125
1,300ms,3,0.11267605633802817,0.17500000000000002
1,300ms,4,0.14084507042253522,0.225
