session,condition,data,data_sec
0,300ms,8,0.42500000000000004
0,600ms,5,0.275
0,900ms,6,0.32500000000000007
1,300ms,6,0.32500000000000007
1,600ms,3,0.17500000000000002
1,900ms,5,0.275
2,300ms,5,0.275
2,600ms,10,0.525
2,900ms,0,0.025
3,300ms,5,0.275
3,600ms,9,0.47500000000000003
3,900ms,7,0.37500000000000006
4,300ms,6,0.32500000000000007
4,600ms,3,0.17500000000000002
4,900ms,8,0.42500000000000004
5,300ms,8,0.42500000000000004
5,600ms,10,0.525
5,900ms,0,0.025
6,300ms,8,0.42500000000000004
6,600ms,7,0.37500000000000006
6,900ms,9,0.47500000000000003
7,300ms,5,0.275
7,600ms,13,0.675
7,900ms,18,0.925
8,300ms,6,0.32500000000000007
8,600ms,15,0.775
8,900ms,8,0.42500000000000004
9,300ms,5,0.275
9,600ms,12,0.6250000000000001
9,900ms,10,0.525
10,300ms,8,0.42500000000000004
10,600ms,15,0.775
10,900ms,0,0.025
11,300ms,8,0.42500000000000004
11,600ms,11,0.5750000000000001
11,900ms,0,0.025
12,300ms,3,0.17500000000000002
12,600ms,4,0.225
12,900ms,5,0.275
13,300ms,5,0.275
13,600ms,3,0.17500000000000002
13,900ms,5,0.275
14,300ms,0,0.025
14,600ms,5,0.275
14,900ms,2,0.125
15,300ms,6,0.32500000000000007
15,600ms,5,0.275
15,900ms,6,0.32500000000000007
16,300ms,6,0.32500000000000007
16,600ms,3,0.17500000000000002
16,900ms,6,0.32500000000000007
17,300ms,4,0.225
17,600ms,9,0.47500000000000003
17,900ms,5,0.275
18,300ms,4,0.225
18,600ms,7,0.37500000000000006
18,900ms,7,0.37500000000000006
19,300ms,6,0.32500000000000007
19,600ms,16,0.8250000000000001
19,900ms,18,0.925
