age,condition,animal,mean_response_base,mean_response_timing_first,mean_response_timing_second,mean_response_std,epoch_type,weight,colony,sex,experiment
1698,600,5,0.37851000000078666,0.37851000000078666,,0.12786129895962728,1.0,44.0,Baggins,f,noise
1698,600,5,0.12498143750084767,,0.12498143750084767,0.14003605499860022,2.0,44.0,Baggins,f,noise
1698,600,5,,0.2506260000001532,0.4853890000001627,,3.0,44.0,Baggins,f,noise
1698,900,5,0.3793404285710186,0.3793404285710186,,0.0767957537718218,1.0,44.0,Baggins,f,noise
1698,900,5,0.4653632499996888,,0.4653632499996888,0.32265402037056234,2.0,44.0,Baggins,f,noise
1720,600,63,0.29676739130519164,0.29676739130519164,,0.11895598040956523,1.0,56.1,Brandybucks,f,noise
1720,600,63,0.15818006666771112,,0.15818006666771112,0.1555302719462567,2.0,56.1,Brandybucks,f,noise
1720,600,63,,0.13267500000114296,0.2401250000011184,,3.0,56.1,Brandybucks,f,noise
1720,900,63,0.34525010144896695,0.34525010144896695,,0.19081180992849736,1.0,56.1,Brandybucks,f,noise
1720,900,63,0.24603949999940367,,0.24603949999940367,0.18743882830735165,2.0,56.1,Brandybucks,f,noise
1720,900,63,,0.2765324285714428,0.37512114285718784,,3.0,56.1,Brandybucks,f,noise
519,600,200,0.38594680555648453,0.38594680555648453,,0.12612764212290187,1.0,42.0,Chubbs,m,noise
519,600,200,0.15976717391418693,,0.15976717391418693,0.11640280915169139,2.0,42.0,Chubbs,m,noise
317,600,233,0.3882515000007686,0.3882515000007686,,0.12978294109979713,1.0,33.0,Brandybucks,f,noise
317,600,233,0.14446885000099885,,0.14446885000099885,0.13961792044816476,2.0,33.0,Brandybucks,f,noise
317,900,233,0.4500105714282573,0.4500105714282573,,0.15173309406861085,1.0,33.0,Brandybucks,f,noise
317,900,233,0.3028595999999425,,0.3028595999999425,0.3006719844320804,2.0,33.0,Brandybucks,f,noise
720,600,100,0.302749829268914,0.302749829268914,,0.13273278673365452,1.0,45.6,Brandybucks,f,noise
720,600,100,0.07867171428684161,,0.07867171428684161,0.02740936462858099,2.0,45.6,Brandybucks,f,noise
720,600,100,,0.163879000001657,0.5515830000016649,,3.0,45.6,Brandybucks,f,noise
720,900,100,0.4175305909092618,0.4175305909092618,,0.11843583242167638,1.0,45.6,Brandybucks,f,noise
720,900,100,0.1645219999997266,,0.1645219999997266,0.0,2.0,45.6,Brandybucks,f,noise
720,900,100,,0.29192550000055917,0.5841530000005605,,3.0,45.6,Brandybucks,f,noise
227,600,259,0.4708645000009142,0.4708645000009142,,0.07803833779150442,1.0,30.0,Brandybucks,m,noise
227,600,259,0.2110786666676815,,0.2110786666676815,0.148118214765692,2.0,30.0,Brandybucks,m,noise
163,600,284,0.43387719230851146,0.43387719230851146,,0.09112584641345793,1.0,27.2,Boffin,m,noise
163,600,284,0.16120308333428945,,0.16120308333428945,0.1539156182230069,2.0,27.2,Boffin,m,noise
163,900,284,0.5785043913040944,0.5785043913040944,,0.16008470059800123,1.0,27.2,Boffin,m,noise
163,900,284,0.04978799999961436,,0.04978799999961436,0.0,2.0,27.2,Boffin,m,noise
163,900,284,,0.5227034999998637,0.7617334999999116,,3.0,27.2,Boffin,m,noise
1353,600,17,0.3960262000008788,0.3960262000008788,,0.143648472388749,1.0,46.1,Baggins,f,noise
1353,600,17,0.07731825000067882,,0.07731825000067882,0.03905704857887246,2.0,46.1,Baggins,f,noise
1353,900,17,0.40641866666656296,0.40641866666656296,,0.16657513278160313,1.0,46.1,Baggins,f,noise
1353,900,17,0.40153200000000877,,0.40153200000000877,0.3551572228868613,2.0,46.1,Baggins,f,noise
1353,900,17,,0.4551316666665646,0.3611063333332405,,3.0,46.1,Baggins,f,noise
2019,600,11,0.48041581579052656,0.48041581579052656,,0.07793398977926315,1.0,71.8,Baggins,f,noise
2019,600,11,0.155539418605376,,0.155539418605376,0.10323853266773052,2.0,71.8,Baggins,f,noise
2019,900,11,0.44263517073119374,0.44263517073119374,,0.18574067789655627,1.0,71.8,Baggins,f,noise
2019,900,11,0.18197681249963293,,0.18197681249963293,0.11320623434824588,2.0,71.8,Baggins,f,noise
2019,900,11,,0.376863416666301,0.23271063636324243,,3.0,71.8,Baggins,f,noise
5902,600,110,0.44327586111199224,0.44327586111199224,,0.10378483590439902,1.0,55.3,Chubbs,f,noise
5902,600,110,0.09227087096861664,,0.09227087096861664,0.07097178224799236,2.0,55.3,Chubbs,f,noise
5902,600,110,,0.025915000001702992,0.05760200000170246,,3.0,55.3,Chubbs,f,noise
5902,900,110,0.49951754999964776,0.49951754999964776,,0.1325179861705669,1.0,55.3,Chubbs,f,noise
5902,900,110,0.1374149999997013,,0.1374149999997013,0.08111382501523814,2.0,55.3,Chubbs,f,noise
5902,900,110,,0.8854040000002215,0.8978400000001784,,3.0,55.3,Chubbs,f,noise
163,600,280,0.4452992000008976,0.4452992000008976,,0.08362720753326092,1.0,29.4,Boffin,m,noise
163,600,280,0.20051942105371445,,0.20051942105371445,0.12490007398869057,2.0,29.4,Boffin,m,noise
600,600,178,0.4180209166676079,0.4180209166676079,,0.15155765435587282,1.0,42.6,Chubbs,f,noise
600,600,178,0.19191950000085856,,0.19191950000085856,0.09124755228099855,2.0,42.6,Chubbs,f,noise
575,600,185,0.29275121428654977,0.29275121428654977,,0.09204759750498272,1.0,60.0,Boffin,f,noise
575,600,185,0.4270295000008645,,0.4270295000008645,0.15419750000081933,2.0,60.0,Boffin,f,noise
575,900,185,0.3447974545454713,0.3447974545454713,,0.11785182516510524,1.0,60.0,Boffin,f,noise
575,900,185,0.8675950000013927,,0.8675950000013927,0.0,2.0,60.0,Boffin,f,noise
575,600,191,0.29857250000077473,0.29857250000077473,,0.12018901902411264,1.0,38.9,Boffin,f,noise
575,600,191,0.09155400000070701,,0.09155400000070701,0.03492096144675714,2.0,38.9,Boffin,f,noise
575,600,191,,0.2199100000016756,0.5897940000017116,,3.0,38.9,Boffin,f,noise
575,900,191,0.4750778181814532,0.4750778181814532,,0.26249566617409403,1.0,38.9,Boffin,f,noise
575,900,191,0.592678999999877,,0.592678999999877,0.22575868880480815,2.0,38.9,Boffin,f,noise
575,600,184,0.297999217392314,0.297999217392314,,0.15646972793261185,1.0,47.6,Boffin,f,noise
575,600,184,0.16349866666798984,,0.16349866666798984,0.1010330080101186,2.0,47.6,Boffin,f,noise
575,600,184,,0.24691150000114703,0.22084850000117628,,3.0,47.6,Boffin,f,noise
575,900,184,0.6025713333334011,0.6025713333334011,,0.15502997158476184,1.0,47.6,Boffin,f,noise
575,900,184,0.47017866666675057,,0.47017866666675057,0.3172902150497588,2.0,47.6,Boffin,f,noise
575,900,184,,0.11046500000003334,0.07016999999999596,,3.0,47.6,Boffin,f,noise
575,600,195,0.3449636083342099,0.3449636083342099,,0.11603151425065145,1.0,64.0,Boffin,f,noise
575,600,195,0.1328490000006569,,0.1328490000006569,0.08471664371421822,2.0,64.0,Boffin,f,noise
575,600,195,,0.1796594545464245,0.2421733636373264,,3.0,64.0,Boffin,f,noise
575,900,195,0.3907364531255588,0.3907364531255588,,0.1539597338153058,1.0,64.0,Boffin,f,noise
575,900,195,0.14937300000028697,,0.14937300000028697,0.0,2.0,64.0,Boffin,f,noise
575,900,195,,0.32929343478306433,0.3643122857146873,,3.0,64.0,Boffin,f,noise
553,600,186,0.3232171724145577,0.3232171724145577,,0.1326539105079406,1.0,33.4,Brandybucks,m,noise
553,600,186,0.09477717647153183,,0.09477717647153183,0.08876037860394427,2.0,33.4,Brandybucks,m,noise
553,600,186,,0.201159833334169,0.3026205000008313,,3.0,33.4,Brandybucks,m,noise
553,900,186,0.45381361111066415,0.45381361111066415,,0.17297690533007976,1.0,33.4,Brandybucks,m,noise
553,900,186,0.5570631999998,,0.5570631999998,0.2239062786423851,2.0,33.4,Brandybucks,m,noise
553,900,186,,0.35423133333273427,0.4958186666660784,,3.0,33.4,Brandybucks,m,noise
600,600,176,0.38584142857220627,0.38584142857220627,,0.11507200944560772,1.0,45.0,Chubbs,m,noise
600,600,176,0.19211185714381063,,0.19211185714381063,0.13676430808896686,2.0,45.0,Chubbs,m,noise
600,900,176,0.43061647826044197,0.43061647826044197,,0.1641619804874553,1.0,45.0,Chubbs,m,noise
600,900,176,0.22790499999985625,,0.22790499999985625,0.30309635869373186,2.0,45.0,Chubbs,m,noise
600,900,176,,0.2904629999994768,0.336564999999473,,3.0,45.0,Chubbs,m,noise
600,600,179,0.37253364285788443,0.37253364285788443,,0.1071897556102806,1.0,37.6,Chubbs,m,noise
600,600,179,0.16372920000106317,,0.16372920000106317,0.17786700147886447,2.0,37.6,Chubbs,m,noise
600,900,179,0.46710499999993543,0.46710499999993543,,0.18875289242501228,1.0,37.6,Chubbs,m,noise
600,900,179,0.3983980000001718,,0.3983980000001718,0.3413822708435171,2.0,37.6,Chubbs,m,noise
