age,condition,animal,calls,predicted,weight,colony,sex,experiment
1698,600,5,0.6666666666666667,0.0,44.0,Baggins,f,noise
1698,600,5,1.813333333333333,1.0,44.0,Baggins,f,noise
1698,900,5,0.0,0.0,44.0,Baggins,f,noise
1698,900,5,0.28,1.0,44.0,Baggins,f,noise
1720,600,63,2.0,0.0,56.1,Brandybucks,f,noise
1720,600,63,5.760000000000002,1.0,56.1,Brandybucks,f,noise
1720,900,63,7.000000000000001,0.0,56.1,Brandybucks,f,noise
1720,900,63,7.590000000000001,1.0,56.1,Brandybucks,f,noise
519,600,200,0.0,0.0,42.0,Chubbs,m,noise
519,600,200,3.6314196745756764,1.0,42.0,Chubbs,m,noise
317,600,233,0.0,0.0,33.0,Brandybucks,f,noise
317,600,233,2.7025809648214043,1.0,33.0,Brandybucks,f,noise
317,900,233,0.0,0.0,33.0,Brandybucks,f,noise
317,900,233,0.35000000000000003,1.0,33.0,Brandybucks,f,noise
720,600,100,0.6666666666666667,0.0,45.6,Brandybucks,f,noise
720,600,100,1.4933333333333334,1.0,45.6,Brandybucks,f,noise
720,900,100,2.0,0.0,45.6,Brandybucks,f,noise
720,900,100,0.72,1.0,45.6,Brandybucks,f,noise
227,600,259,0.0,0.0,30.0,Brandybucks,m,noise
227,600,259,0.16,1.0,30.0,Brandybucks,m,noise
163,600,284,0.0,0.0,27.2,Boffin,m,noise
163,600,284,1.3866666666666667,1.0,27.2,Boffin,m,noise
163,900,284,2.0,0.0,27.2,Boffin,m,noise
163,900,284,0.75,1.0,27.2,Boffin,m,noise
1353,600,17,0.0,0.0,46.1,Baggins,f,noise
1353,600,17,1.3157317661506076,1.0,46.1,Baggins,f,noise
1353,900,17,3.0,0.0,46.1,Baggins,f,noise
1353,900,17,0.5399999999999999,1.0,46.1,Baggins,f,noise
2019,600,11,0.0,0.0,71.8,Baggins,f,noise
2019,600,11,8.705844743992754,1.0,71.8,Baggins,f,noise
2019,900,11,10.891089108910892,0.0,71.8,Baggins,f,noise
2019,900,11,12.969316733653564,1.0,71.8,Baggins,f,noise
5902,600,110,0.6622516556291391,0.0,55.3,Chubbs,f,noise
