session,condition,time,data,experiment
0,0,0,0.13043478260869565,noise
0,0,1,0.0,noise
0,0,2,0.21739130434782608,noise
0,0,3,0.21739130434782608,noise
0,0,4,0.08695652173913043,noise
0,0,5,0.0,noise
0,0,6,0.0,noise
0,0,7,0.043478260869565216,noise
0,0,8,0.2608695652173913,noise
0,0,9,0.043478260869565216,noise
0,1,0,0.0,noise
0,1,1,0.14285714285714285,noise
0,1,2,0.14285714285714285,noise
0,1,3,0.14285714285714285,noise
0,1,4,0.2857142857142857,noise
0,1,5,0.0,noise
0,1,6,0.0,noise
0,1,7,0.0,noise
0,1,8,0.2857142857142857,noise
0,1,9,0.0,noise
1,0,0,0.057971014492753624,noise
1,0,1,0.057971014492753624,noise
1,0,2,0.18840579710144928,noise
1,0,3,0.08695652173913043,noise
1,0,4,0.10144927536231885,noise
1,0,5,0.13043478260869565,noise
1,0,6,0.11594202898550725,noise
1,0,7,0.10144927536231885,noise
1,0,8,0.08695652173913043,noise
1,0,9,0.07246376811594203,noise
1,1,0,0.0967741935483871,noise
1,1,1,0.11290322580645161,noise
1,1,2,0.12903225806451613,noise
1,1,3,0.12903225806451613,noise
1,1,4,0.11290322580645161,noise
1,1,5,0.0967741935483871,noise
1,1,6,0.14516129032258066,noise
1,1,7,0.06451612903225806,noise
1,1,8,0.06451612903225806,noise
1,1,9,0.04838709677419355,noise
2,0,0,0.0,noise
2,0,1,0.0,noise
2,0,2,0.1111111111111111,noise
2,0,3,0.16666666666666666,noise
2,0,4,0.16666666666666666,noise
2,0,5,0.2222222222222222,noise
2,0,6,0.16666666666666666,noise
2,0,7,0.027777777777777776,noise
2,0,8,0.027777777777777776,noise
2,0,9,0.1111111111111111,noise
2,1,0,,noise
2,1,1,,noise
2,1,2,,noise
2,1,3,,noise
2,1,4,,noise
2,1,5,,noise
2,1,6,,noise
2,1,7,,noise
2,1,8,,noise
2,1,9,,noise
3,0,0,0.03333333333333333,noise
3,0,1,0.03333333333333333,noise
3,0,2,0.23333333333333334,noise
3,0,3,0.16666666666666666,noise
3,0,4,0.1,noise
3,0,5,0.2,noise
3,0,6,0.0,noise
3,0,7,0.16666666666666666,noise
3,0,8,0.0,noise
3,0,9,0.06666666666666667,noise
3,1,0,0.2857142857142857,noise
3,1,1,0.14285714285714285,noise
3,1,2,0.42857142857142855,noise
3,1,3,0.0,noise
3,1,4,0.0,noise
3,1,5,0.0,noise
3,1,6,0.0,noise
3,1,7,0.14285714285714285,noise
3,1,8,0.0,noise
3,1,9,0.0,noise
4,0,0,0.24390243902439024,noise
4,0,1,0.14634146341463414,noise
4,0,2,0.0975609756097561,noise
4,0,3,0.04878048780487805,noise
4,0,4,0.17073170731707318,noise
4,0,5,0.07317073170731707,noise
4,0,6,0.024390243902439025,noise
4,0,7,0.0975609756097561,noise
4,0,8,0.024390243902439025,noise
4,0,9,0.07317073170731707,noise
4,1,0,0.13636363636363635,noise
4,1,1,0.18181818181818182,noise
4,1,2,0.22727272727272727,noise
4,1,3,0.0,noise
4,1,4,0.0,noise
4,1,5,0.0,noise
4,1,6,0.0,noise
4,1,7,0.22727272727272727,noise
4,1,8,0.18181818181818182,noise
4,1,9,0.045454545454545456,noise
5,0,0,0.0,noise
5,0,1,0.0,noise
5,0,2,0.0,noise
5,0,3,0.0,noise
5,0,4,0.25,noise
5,0,5,0.5,noise
5,0,6,0.25,noise
5,0,7,0.0,noise
5,0,8,0.0,noise
5,0,9,0.0,noise
5,1,0,,noise
5,1,1,,noise
5,1,2,,noise
5,1,3,,noise
5,1,4,,noise
5,1,5,,noise
5,1,6,,noise
5,1,7,,noise
5,1,8,,noise
5,1,9,,noise
6,0,0,0.23076923076923078,noise
6,0,1,0.038461538461538464,noise
6,0,2,0.15384615384615385,noise
6,0,3,0.11538461538461539,noise
6,0,4,0.0,noise
6,0,5,0.038461538461538464,noise
6,0,6,0.038461538461538464,noise
6,0,7,0.07692307692307693,noise
6,0,8,0.19230769230769232,noise
6,0,9,0.11538461538461539,noise
6,1,0,0.13043478260869565,noise
6,1,1,0.17391304347826086,noise
6,1,2,0.08695652173913043,noise
6,1,3,0.13043478260869565,noise
6,1,4,0.13043478260869565,noise
6,1,5,0.043478260869565216,noise
6,1,6,0.0,noise
6,1,7,0.0,noise
6,1,8,0.17391304347826086,noise
6,1,9,0.13043478260869565,noise
7,0,0,0.08,noise
7,0,1,0.12,noise
7,0,2,0.08,noise
7,0,3,0.04,noise
7,0,4,0.0,noise
7,0,5,0.32,noise
7,0,6,0.2,noise
7,0,7,0.0,noise
7,0,8,0.12,noise
7,0,9,0.04,noise
